rank,targetid,gaia_source_id,survey,n_epochs,mjd_span,S,S_robust,d_max,delta_rv_kms,rv_err_median_kms,notes,gaia_nss_flag,gaia_nss_type,gaia_nss_notes,simbad_main_id,simbad_otype,simbad_binary_flag,variable_class
3,39633437979575384,1584997005586641280,bright,3,354.9959,123.4901,71.7264,105.3453,98.6139,0.4889,LOO-moderate; high-leverage(d=105); N=3(min),NO,,,,,NO_MATCH,candidate_companion
5,39627830035744797,3891388499304470656,bright,3,94.7559,107.9462,52.2263,108.4961,76.0153,0.3994,LOO-drops; high-leverage(d=108); N=3(min),NO,,,,,NO_MATCH,candidate_companion
6,39627681263782079,6914501041337922944,bright,3,2.9774,87.3568,49.0747,79.1709,96.9153,0.6815,LOO-moderate; N=3(min),NO,,,,,NO_MATCH,candidate_companion
8,39627720727987709,3827093418703158272,dark,7,102.7287,43.7508,43.7508,110.0710,93.3597,0.7499,LOO-stable; high-leverage(d=110); N=7,NO,,,,,NO_MATCH,candidate_companion
11,39627721168388315,3787512447507460352,bright,3,122.6665,64.3497,35.5568,63.2058,330.4592,2.9609,LOO-moderate; N=3(min),NO,,,,,NO_MATCH,candidate_companion
12,39628408488985455,1880759723584022528,bright,3,12.9634,57.9631,33.4072,47.5602,119.6161,0.9882,LOO-moderate; N=3(min),NO,,,,,NO_MATCH,candidate_companion
13,39627690751300586,3780868403682988032,dark,8,109.6966,31.0776,30.5464,83.6792,66.5838,0.7141,LOO-stable; N=8,NO,,,,,NO_MATCH,candidate_companion
15,39627634937694383,3244963210786057984,dark,4,78.7708,40.0375,30.2099,105.9607,114.3295,1.1627,LOO-moderate; high-leverage(d=106),NO,,,SDSS J035641.04-061620.5,*,NO,candidate_companion
16,39627751707116493,3683541768991487104,dark,4,46.8721,84.4855,29.1252,127.2703,80.5036,0.4818,LOO-drops; high-leverage(d=127),NO,,,,,NO_MATCH,candidate_companion
18,39627793041985967,3843110008879900032,dark,6,87.7770,39.2889,28.7552,77.7042,42.7996,0.4235,LOO-moderate; N=6,NO,,,,,NO_MATCH,candidate_companion
22,39627829624701236,3856238482657768576,bright,3,14.9359,71.5469,20.5593,133.2482,100.2366,0.8914,LOO-drops; high-leverage(d=133); N=3(min),NO,,,,,NO_MATCH,candidate_companion
23,39627745210139276,3802130935635096832,bright,4,38.9003,79.8619,19.7784,205.2440,146.0699,0.9436,LOO-drops; high-leverage(d=205),NO,,,,,NO_MATCH,candidate_companion
24,39628051222364390,602361299180812800,dark,3,139.6182,41.3207,19.6233,38.0924,32.3500,0.3828,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion
26,39627836088124572,3891796860498960768,dark,3,23.9282,34.6589,17.1877,33.8004,63.9698,1.0478,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion
27,39627624326103210,3823628002865715328,dark,5,79.7838,31.9960,16.6506,45.3236,70.9055,0.8823,LOO-moderate; N=5,NO,,,,,NO_MATCH,candidate_companion
29,39627817100513868,3078449763965033472,dark,3,9.0016,30.2829,16.0527,26.1032,381.7968,5.8497,LOO-moderate; N=3(min),NO,,,,,NO_MATCH,candidate_companion
30,39633325534479674,1563820480355540352,bright,3,28.9711,64.6402,15.2165,86.0218,66.8579,0.6325,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion
31,39627981798249854,4442920432493231872,dark,5,11.9764,32.1995,14.9620,43.7759,110.9868,1.4566,LOO-drops; N=5,NO,,,,,NO_MATCH,candidate_companion
32,39627788696688328,4410518344516247424,dark,3,16.9500,32.1495,13.2199,31.2192,51.9025,0.8724,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion
33,39627892669286666,1732847539605117824,dark,3,3.9846,29.3629,12.6016,30.9410,111.8168,2.1317,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion
37,39632981127598108,1473318613122088448,dark,3,30.9022,40.9116,11.8799,54.3827,39.5232,0.5539,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion
