targetid,gaia_source_id,delta_rv_max_kms,n_epochs,rv_median_kms,rv_std_kms,rv_err_median_kms,mjd_span_days,mjds,rvs_kms
39627767834215171,-9999,1968.4503,3,-353.8771,822.2575,106.1425,27.9915,"59490.4972;59495.4783;59518.4887","999.6526;-968.7977;-353.8771"
39633283306229595,-9999,1961.0392,10,335.3206,582.7678,586.0734,34.9692,"59369.3766;59369.3550;59367.3263;59375.3393;59375.3556;59401.4121;59371.3132;59375.4307;59367.3192;59402.2884","747.2413;992.0164;932.6811;386.7953;638.7563;-68.1938;283.8458;-267.8862;-969.0228;-76.8339"
39627785416744013,-9999,1960.4583,4,371.7541,728.0804,745.1168,32.0274,"59518.4551;59486.4277;59486.4502;59486.4890","534.2799;970.0453;209.2283;-990.4130"
39628493423641944,1895485375440357888,1943.2313,7,280.1397,690.1632,146.1137,28.1665,"59491.1827;59510.1443;59510.2849;59482.1401;59482.1184;59484.3132;59510.2633","-857.2472;457.6288;-994.1266;319.4874;280.1397;-589.3138;949.1048"
39628529930866506,2873996027752674048,1938.4369,5,-668.6740,851.8778,80.4431,54.9115,"59491.2823;59539.2372;59491.3165;59484.3257;59491.3217","-989.8611;-862.9561;818.9776;-668.6740;948.5757"
39628488214316611,1894731664515475584,1929.7994,9,537.3247,705.3521,204.2928,57.0695,"59482.1401;59539.2096;59510.1660;59510.1900;59484.3132;59510.1443;59491.1827;59482.1618;59510.2415","-524.9962;932.5753;-982.5533;537.3247;-778.3489;947.2461;56.2954;645.0232;626.4579"
39627755729458356,-9999,1929.1212,3,142.3490,789.8635,511.6430,27.9915,"59490.4972;59495.4783;59518.4887","979.0506;142.3490;-950.0706"
39628509387166692,-9999,1928.1453,3,-585.2141,833.3443,323.5153,0.0394,"59491.3165;59491.2823;59491.3217","-585.2141;959.1806;-968.9647"
39633294328861253,-9999,1925.8815,5,-753.6626,716.6075,351.0068,32.0572,"59371.3132;59375.3393;59369.3550;59369.3766;59401.4121","-800.3641;-707.0655;-753.6626;-948.1062;977.7753"
39633283335587390,-9999,1915.9956,9,491.7557,649.2742,95.6865,35.0434,"59402.3263;59402.2884;59402.3480;59402.3037;59375.3556;59369.3766;59367.3263;59402.2680;59402.3697","984.0444;-853.4015;491.7557;-931.9512;-178.8173;616.0328;506.4590;675.9027;457.5426"
