rank,targetid,m2_min,best_period,best_K,delta_rv,n_epochs,total_score,is_pathological,notes
1,39627624485487722,8.94,32.476,128.2,58.7,7,0.84,False,NO_COORDS|MULTIMODAL
2,39627691564992866,13.55,106.55,101.6,40.0,7,0.84,False,NO_COORDS|MULTIMODAL
3,39627775883085095,12.893,1.325,430.4,82.3,5,0.84,False,HIGH_K_SUSPECT_SB2|NO_COORDS|MULTIMODAL
4,39627872045893843,19.495,14.486,223.7,422.7,5,0.84,False,HIGH_K_SUSPECT_SB2|NO_COORDS|MULTIMODAL
5,39632935875250494,48.146,7.997,385.2,487.7,5,0.84,False,HIGH_K_SUSPECT_SB2|EXTREME_MASS|NO_COORDS|MULTIMODAL
6,39627800600117994,32.086,214.712,110.5,26.1,5,0.8,False,EXTREME_MASS|NO_COORDS|MULTIMODAL
7,39627860838712972,5.415,25.842,111.8,48.5,5,0.8,False,NO_COORDS|MULTIMODAL
8,39627634937694383,3.216,9.034,124.0,120.1,5,0.8,False,NO_COORDS|MULTIMODAL
9,39632980964018604,13.856,104.939,103.0,35.6,5,0.8,False,NO_COORDS|MULTIMODAL
10,39627884519756202,67.698,7.525,438.1,89.6,4,0.8,False,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS|MULTIMODAL
11,39628127814550862,31.802,27.466,218.6,21.4,4,0.8,False,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS|MULTIMODAL
12,39633232601286378,9.699,6.973,224.0,31.4,3,0.8,False,HIGH_K_SUSPECT_SB2|LOW_EPOCHS|NO_COORDS|MULTIMODAL
13,39627885153091837,40.514,104.939,154.0,39.8,4,0.8,False,EXTREME_MASS|LOW_EPOCHS|NO_COORDS|MULTIMODAL
14,39633358875001295,34.008,52.875,180.6,40.3,4,0.8,False,EXTREME_MASS|LOW_EPOCHS|NO_COORDS
15,39628502240072918,9.179,16.116,163.7,22.2,4,0.8,False,LOW_EPOCHS|NO_COORDS|MULTIMODAL
16,39628527955347936,100.0,144.497,495.3,681.1,4,0.8,False,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS|MULTIMODAL
17,39632966250401132,15.696,2.062,400.4,90.4,4,0.8,False,HIGH_K_SUSPECT_SB2|LOW_EPOCHS|NO_COORDS|MULTIMODAL
18,39627815733169339,9.628,19.348,161.0,25.2,3,0.8,False,LOW_EPOCHS|NO_COORDS
19,39627945731430864,18.146,5.064,313.3,50.9,4,0.8,False,HIGH_K_SUSPECT_SB2|LOW_EPOCHS|NO_COORDS
20,39627775493017377,11.579,5.064,264.0,27.4,4,0.8,False,HIGH_K_SUSPECT_SB2|LOW_EPOCHS|NO_COORDS|MULTIMODAL
21,39627872998002014,17.868,9.034,256.8,34.0,4,0.8,False,HIGH_K_SUSPECT_SB2|LOW_EPOCHS|NO_COORDS
22,39627860964543690,11.791,1.228,442.5,237.7,4,0.8,False,HIGH_K_SUSPECT_SB2|LOW_EPOCHS|NO_COORDS
23,39627697768369126,6.378,0.852,374.6,420.9,4,0.8,False,HIGH_K_SUSPECT_SB2|LOW_EPOCHS|NO_COORDS|MULTIMODAL
24,39632971258400629,5.809,71.706,287.5,429.5,4,0.8,False,HIGH_K_SUSPECT_SB2|LOW_EPOCHS|NO_COORDS|MULTIMODAL
25,39627861350420845,18.819,114.982,110.7,60.4,4,0.76,False,LOW_EPOCHS|NO_COORDS|MULTIMODAL
26,39627812625187570,13.832,48.997,137.0,26.1,4,0.76,False,LOW_EPOCHS|NO_COORDS|MULTIMODAL
27,39633095955056117,15.317,114.982,103.8,109.6,4,0.76,False,LOW_EPOCHS|NO_COORDS|MULTIMODAL
28,39627829553397989,8.18,50.513,106.7,21.4,4,0.76,False,LOW_EPOCHS|NO_COORDS|MULTIMODAL
29,39628285692346771,3.026,5.465,142.2,56.5,5,0.72,False,NO_COORDS|MULTIMODAL
30,39627750759206434,3.158,2.591,192.4,92.3,4,0.72,False,LOW_EPOCHS|NO_COORDS
31,39627800969222315,3.133,28.75,83.2,66.5,4,0.68,False,LOW_EPOCHS|NO_COORDS|MULTIMODAL
32,39627660803968944,4.319,91.495,69.6,180.5,9,0.68,False,NO_COORDS|MULTIMODAL
33,39627733243789899,100.0,1000.0,3655.9,33.4,7,0.67,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|NO_COORDS|MULTIMODAL
34,39627787673274039,100.0,926.667,1604.4,23.8,6,0.67,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|NO_COORDS|MULTIMODAL
35,39627859576228067,100.0,807.953,285.8,28.3,6,0.67,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|NO_COORDS|MULTIMODAL
36,39633020474362490,4.556,273.968,47.0,35.8,5,0.64,False,NO_COORDS|MULTIMODAL
37,39627830035744797,100.0,820.354,10914.1,76.0,3,0.63,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS
38,39633493474413038,100.0,45.404,3198.7,74.3,5,0.63,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|NO_COORDS
39,39633437979575384,100.0,246.26,31338.0,98.6,3,0.63,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS
40,39632991214896712,100.0,314.223,37905.3,107.0,3,0.63,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS
41,39628001431785529,16.617,0.732,577.7,822.9,4,0.63,True,HIGH_K_SUSPECT_SB2|LOW_EPOCHS|NO_COORDS
42,39627714650441625,4.368,98.736,68.2,23.6,4,0.6,False,LOW_EPOCHS|NO_COORDS
43,39632971514251363,3.447,57.935,69.1,136.2,4,0.6,False,LOW_EPOCHS|NO_COORDS|MULTIMODAL
44,39627690545778495,3.846,25.452,98.6,36.5,4,0.6,False,LOW_EPOCHS|NO_COORDS|MULTIMODAL
45,2803029086568448,100.0,75.059,5754.2,42.8,3,0.59,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS|MULTIMODAL
46,39627873299989214,100.0,80.999,84663.1,35.9,3,0.59,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS
47,39627843021314132,100.0,898.862,23117.6,156.6,3,0.59,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS
48,39627687299389326,100.0,235.26,3000.1,39.7,3,0.59,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS
49,39627705397811736,100.0,704.447,55382.9,39.5,3,0.59,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS
50,39627681259587063,100.0,496.246,167413.6,41.6,3,0.59,True,HIGH_K_SUSPECT_SB2|EXTREME_MASS|LOW_EPOCHS|NO_COORDS
